Year,Indicator,Value
1955,HGHerringR_UpperCI,270.74495
1956,HGHerringR_UpperCI,279.4095
1957,HGHerringR_UpperCI,222.3553
1958,HGHerringR_UpperCI,472.36695
1959,HGHerringR_UpperCI,202.48535
1960,HGHerringR_UpperCI,591.88525
1961,HGHerringR_UpperCI,851.13765
1962,HGHerringR_UpperCI,702.06895
1963,HGHerringR_UpperCI,516.2765
1964,HGHerringR_UpperCI,595.0802
1965,HGHerringR_UpperCI,988.7187
1966,HGHerringR_UpperCI,244.3684
1967,HGHerringR_UpperCI,194.4753
1968,HGHerringR_UpperCI,209.8553
1969,HGHerringR_UpperCI,204.1769
1970,HGHerringR_UpperCI,328.3886
1971,HGHerringR_UpperCI,373.1922
1972,HGHerringR_UpperCI,523.8261
1973,HGHerringR_UpperCI,457.8837
1974,HGHerringR_UpperCI,435.44985
1975,HGHerringR_UpperCI,153.5573
1976,HGHerringR_UpperCI,160.103
1977,HGHerringR_UpperCI,213.35015
1978,HGHerringR_UpperCI,113.0692
1979,HGHerringR_UpperCI,1499.9775
1980,HGHerringR_UpperCI,266.8028
1981,HGHerringR_UpperCI,118.29025
1982,HGHerringR_UpperCI,104.0685
1983,HGHerringR_UpperCI,754.55825
1984,HGHerringR_UpperCI,408.08475
1985,HGHerringR_UpperCI,125.73845
1986,HGHerringR_UpperCI,167.82765
1987,HGHerringR_UpperCI,1041.3675
1988,HGHerringR_UpperCI,515.7701
1989,HGHerringR_UpperCI,247.64125
1990,HGHerringR_UpperCI,117.1844
1991,HGHerringR_UpperCI,482.0288
1992,HGHerringR_UpperCI,51.838745
1993,HGHerringR_UpperCI,41.247795
1994,HGHerringR_UpperCI,120.6465
1995,HGHerringR_UpperCI,382.48515
1996,HGHerringR_UpperCI,434.8609
1997,HGHerringR_UpperCI,1036.6865
1998,HGHerringR_UpperCI,74.33201
1999,HGHerringR_UpperCI,217.26825
2000,HGHerringR_UpperCI,224.3038
2001,HGHerringR_UpperCI,231.3086
2002,HGHerringR_UpperCI,569.01775
2003,HGHerringR_UpperCI,135.58125
2004,HGHerringR_UpperCI,395.6392
2005,HGHerringR_UpperCI,119.95135
2006,HGHerringR_UpperCI,400.68645
2007,HGHerringR_UpperCI,102.53835
2008,HGHerringR_UpperCI,446.7292
2009,HGHerringR_UpperCI,88.075505
2010,HGHerringR_UpperCI,320.14905
2011,HGHerringR_UpperCI,219.9352
2012,HGHerringR_UpperCI,853.49715
2013,HGHerringR_UpperCI,124.0364
2014,HGHerringR_UpperCI,196.11665
2015,HGHerringR_UpperCI,133.38955
2016,HGHerringR_UpperCI,271.4992
2017,HGHerringR_UpperCI,388.36935
2018,HGHerringR_UpperCI,106.28635
2019,HGHerringR_UpperCI,1494.497
2020,HGHerringR_UpperCI,573.34175
1951,CCHerringR_Med,273.304
1952,CCHerringR_Med,273.4795
1953,CCHerringR_Med,1061.77
1954,CCHerringR_Med,189.7035
1955,CCHerringR_Med,217.5615
1956,CCHerringR_Med,356.544
1957,CCHerringR_Med,378.3105
1958,CCHerringR_Med,542.8755
1959,CCHerringR_Med,148.454
1960,CCHerringR_Med,398.368
1961,CCHerringR_Med,622.0655
1962,CCHerringR_Med,498.6415
1963,CCHerringR_Med,478.401
1964,CCHerringR_Med,288.89
1965,CCHerringR_Med,155.3315
1966,CCHerringR_Med,1348.665
1967,CCHerringR_Med,133.4315
1968,CCHerringR_Med,150.097
1969,CCHerringR_Med,359.0195
1970,CCHerringR_Med,322.096
1971,CCHerringR_Med,298.587
1972,CCHerringR_Med,343.6765
1973,CCHerringR_Med,287.64
1974,CCHerringR_Med,312.3465
1975,CCHerringR_Med,157.9245
1976,CCHerringR_Med,127.311
1977,CCHerringR_Med,168.262
1978,CCHerringR_Med,138.7575
1979,CCHerringR_Med,1284.87
1980,CCHerringR_Med,410.2325
1981,CCHerringR_Med,387.4
1982,CCHerringR_Med,171.0305
1983,CCHerringR_Med,150.2685
1984,CCHerringR_Med,419.384
1985,CCHerringR_Med,206.4705
1986,CCHerringR_Med,292.0915
1987,CCHerringR_Med,1004.26
1988,CCHerringR_Med,123.9555
1989,CCHerringR_Med,74.30855
1990,CCHerringR_Med,197.0315
1991,CCHerringR_Med,660.0425
1992,CCHerringR_Med,137.0165
1993,CCHerringR_Med,165.9005
1994,CCHerringR_Med,47.04555
1995,CCHerringR_Med,126.5125
1996,CCHerringR_Med,455.1205
1997,CCHerringR_Med,455.6465
1998,CCHerringR_Med,126.229
1999,CCHerringR_Med,219.851
2000,CCHerringR_Med,99.72765
2001,CCHerringR_Med,220.4365
2002,CCHerringR_Med,500.802
2003,CCHerringR_Med,187.204
2004,CCHerringR_Med,432.589
2005,CCHerringR_Med,148.867
2006,CCHerringR_Med,240.808
2007,CCHerringR_Med,110.6885
2008,CCHerringR_Med,531.8695
2009,CCHerringR_Med,189.4235
2010,CCHerringR_Med,391.551
2011,CCHerringR_Med,127.3775
2012,CCHerringR_Med,382.053
