"year","metric","anomaly","time_step","class","region"
1859,"zp_env_anom",NA,"annual","diet","sog"
1859,"fish_env_anom",NA,"annual","diet","sog"
1859,"cci_anom",NA,"seasonal","diet","ca_current"
1860,"prime_anom_pdo",-0.778308628102956,"seasonal","physical","basin"
1860,"prime_anom_npgo",NA,"seasonal","physical","basin"
1860,"prime_anom_sst_arc",NA,"seasonal","physical","basin"
1860,"annual_anom_pdo",-1.02973747705471,"annual","physical","basin"
1860,"annual_anom_npgo",NA,"annual","physical","basin"
1860,"annual_anom_sst_arc",NA,"annual","physical","basin"
1860,"seal_anom",NA,"annual","predator","sog"
1860,"nrkw_anom",NA,"annual","predator","basin"
1860,"srkw_anom",NA,"annual","predator","sog"
1860,"rkw_anom",NA,"annual","predator","basin"
1860,"bi_anom",NA,"annual","physical","basin"
1860,"fish_diet_anom",NA,"annual","diet","wcvi"
1860,"boreal_anom",NA,"annual","diet","wcvi"
1860,"south_anom",NA,"annual","diet","wcvi"
1860,"zp_env_anom",NA,"annual","diet","sog"
1860,"fish_env_anom",NA,"annual","diet","sog"
1860,"cci_anom",NA,"seasonal","diet","ca_current"
1861,"prime_anom_pdo",-0.47790184062748,"seasonal","physical","basin"
1861,"prime_anom_npgo",NA,"seasonal","physical","basin"
1861,"prime_anom_sst_arc",NA,"seasonal","physical","basin"
1861,"annual_anom_pdo",-1.03079805147915,"annual","physical","basin"
1861,"annual_anom_npgo",NA,"annual","physical","basin"
1861,"annual_anom_sst_arc",NA,"annual","physical","basin"
1861,"seal_anom",NA,"annual","predator","sog"
1861,"nrkw_anom",NA,"annual","predator","basin"
1861,"srkw_anom",NA,"annual","predator","sog"
1861,"rkw_anom",NA,"annual","predator","basin"
1861,"bi_anom",NA,"annual","physical","basin"
1861,"fish_diet_anom",NA,"annual","diet","wcvi"
1861,"boreal_anom",NA,"annual","diet","wcvi"
1861,"south_anom",NA,"annual","diet","wcvi"
1861,"zp_env_anom",NA,"annual","diet","sog"
1861,"fish_env_anom",NA,"annual","diet","sog"
1861,"cci_anom",NA,"seasonal","diet","ca_current"
1862,"prime_anom_pdo",0.165393502249295,"seasonal","physical","basin"
1862,"prime_anom_npgo",NA,"seasonal","physical","basin"
1862,"prime_anom_sst_arc",NA,"seasonal","physical","basin"
1862,"annual_anom_pdo",-0.103856004521674,"annual","physical","basin"
1862,"annual_anom_npgo",NA,"annual","physical","basin"
1862,"annual_anom_sst_arc",NA,"annual","physical","basin"
1862,"seal_anom",NA,"annual","predator","sog"
1862,"nrkw_anom",NA,"annual","predator","basin"
1862,"srkw_anom",NA,"annual","predator","sog"
1862,"rkw_anom",NA,"annual","predator","basin"
1862,"bi_anom",NA,"annual","physical","basin"
1862,"fish_diet_anom",NA,"annual","diet","wcvi"
1862,"boreal_anom",NA,"annual","diet","wcvi"
1862,"south_anom",NA,"annual","diet","wcvi"
1862,"zp_env_anom",NA,"annual","diet","sog"
1862,"fish_env_anom",NA,"annual","diet","sog"
1862,"cci_anom",NA,"seasonal","diet","ca_current"
1863,"prime_anom_pdo",0.144152618286383,"seasonal","physical","basin"
1863,"prime_anom_npgo",NA,"seasonal","physical","basin"
