,AKB,AKS,ATN,ATS,BQR,CHI,CHK,COW,CWF,DOM,ELK,ELW,GAD,GRN,HAN,HAR,KLM,KLY,LRH,LRW,LYF,LYY,MSH,NAN,NIC,NIS,NKS,NSA,NSF,PHI,PPS,QUE,QUI,RBT,SAM,SHU,SKF,SKS,SKY,SOO,SPR,SPS,SPY,SQP,SRH,SSA,SSF,STI,STL,SUM,TAK,TST,UNU,URB,UWA,WRY,WSH
Brood_Year,Alaska Hatchery Springs - Behm Canal,Alaska Spring,Atnarko River,Atnarko Yearling,Big Qualicum River Fall,Chilliwack River Fall,Chilkat River,Cowichan River Fall,Cowlitz Fall Tule,Dome Creek Spring,Elk River,Elwha River,George Adams Fall Fingerling,Green River,Hanford Wild Brights,Harrison River,Kitsumkalum River Summer,Kitsumkalum Yearling,Lower River Hatchery Tule,Lewis River Wild,Lyons Ferry Fingerling,Lyons Ferry Yearling,Middle Shuswap River Summer,Nanaimo River Fall,Nicola River Spring,Nisqually Fall Fingerling,Nooksack Spring Yearling,NE Alaska Spring,Nooksack Spring Fingerling,Phillips River Fall,Puntledge River Summer,Queets Fall Fingerling,Quinsam River Fall,Robertson Creek Fall,Samish Fall Fingerling,Lower Shuswap River Summer,Skagit Spring Fingerling,Skagit Spring Yearling,Skykomish Fall Fingerling,Sooes Fall Fingerling,Spring Creek Tule,South Puget Sound Fall Fingerling,South Puget Sound Fall Yearling,Squaxin Pens Fall Yearling,Salmon River,SE Alaska Spring,Skagit Summer Fingerling,Stikine River,Stillaguamish Fall Fingerling,Columbia River Summer,Taku River,Transboundary Rivers,Unuk River,Columbia River Upriver Bright,University of Washington Accelerated,White River Spring Yearling,Willamette Spring
1990,0.01169506,0.04000111,0.03876349,0.02357788,0.007739825,0.065109,NA,0.06829276,0.00534531,0.0246073,0.03923546,0.003198962,0.000437611,0.01502199,0.008701407,0.02195301,0.002874434,NA,0.004406724,0.009468138,NA,NA,NA,0.05743547,0.07861934,0.01542739,0.01853625,0.06409661,NA,NA,0.002299712,0.02617481,0.006001809,0.05526686,0.02520535,0.08131247,NA,0.0270251,NA,0.01230718,0.003836769,0.01839834,0.009666822,0.0355241,0.1024137,0.03762114,NA,NA,0.06971136,0.002351793,NA,NA,NA,0.02143262,NA,NA,0.02491885
1991,0.02143664,0.04971119,0.04883919,0.04314958,0.00409605,0.01680335,NA,0.02718452,0.002101894,0.01667528,0.03669164,0.000564654,0.001294015,0.003829133,0.001797495,0.004025685,0.008648938,NA,0.000188431,0.007676356,NA,0.009586356,NA,0.006898614,0.0550387,0.006212041,NA,0.09745423,NA,NA,0.001063181,0.01006766,0.006695959,0.01092891,0.00976467,0.009022328,NA,NA,NA,0.01492325,0.004269264,0.005896777,0.02761276,NA,0.01109709,0.04727164,NA,NA,0.003542812,6.83E-05,0.2645034,0.2645034,NA,0.001555794,NA,NA,0.01736865
1992,0.01827915,0.04479036,0.02258152,0.03168011,0.001167854,0.05559522,NA,0.02560444,0.003490975,0.01752326,0.0629727,0.004800544,0.00416187,0.01389571,0.00732422,0.006471444,0.008268811,NA,0.000526353,0.007478958,NA,0.01378095,NA,0.01707738,0.000985907,0.03802999,0.004039061,0.02691056,0.002715607,NA,0.000979917,0.009625474,0.002971132,0.000276944,0.008710676,0.03228535,NA,NA,NA,0.02708529,0.004396923,0.03510055,0.02504018,0.0037866,0.04863946,0.04756937,NA,NA,0.01119178,0.01141247,0.1211836,0.1211836,0.0190524,0.00773612,NA,NA,0.01121361
1993,0.0237264,0.02863912,0.0217003,0.0579273,0.005762632,0.05443919,NA,0.01795568,0.003611375,0.02360892,0.1101744,0.004993541,0.008023416,0.01445962,0.009288623,0.02045638,0.005509194,NA,0.00063824,0.00415247,NA,0.02870591,NA,0.03900629,0.007656977,0.007762052,0.003426815,0.02305309,0.009097696,NA,0.003545724,0.02946606,0.006923925,0.0220774,0.01673992,0.02096007,0.007439101,0.01124325,NA,0.00175272,0.005609483,0.0373569,0.05078842,0.03067396,0.0968243,0.02815172,NA,NA,0.02036219,0.01344165,0.03855567,0.03855568,0.07471351,0.02600326,NA,NA,0.01306047
1994,0.02027093,0.04804265,0.03378563,NA,0.004021479,0.116809,NA,0.01742522,0.000646682,0.001395286,0.0573846,0.002009769,0.001393571,0.009148296,0.000949756,0.03781096,0.009327619,NA,0.002030629,0.001859893,0.04021931,0.01468876,NA,0.01189818,0.01072284,0.009585763,0.002217131,0.04392825,0.04602183,NA,0.001845786,0.01760976,0.00853653,0.04658973,0.02375556,0.03218033,0.01166859,0.01392884,NA,0.03673865,0.003246317,0.01205902,0.002962948,0.006530734,0.04775029,0.04582184,0.002195138,NA,0.02382138,0.000824052,0.06551018,0.06551019,0.02796185,0.002102942,NA,NA,0.01177869
1995,0.05415201,0.04391842,0.02912802,NA,0.002297795,0.03879835,NA,0.008810636,0.002283105,0.002618974,0.08303551,NA,0.002524694,0.006933983,0.004368054,0.01003783,0.004299915,NA,0.000731166,NA,NA,0.04499887,NA,0.009043216,0.05818707,0.007736198,0.001502073,0.02811319,0.008851611,NA,NA,0.005856752,0.009267841,0.004127557,0.003151445,0.02733722,0.007051464,0.03721417,NA,0.03017518,0.001497739,0.005517922,0.007024534,0.00393049,0.02317945,0.04683634,0.004376958,NA,0.01926586,0.007202398,0.1192372,0.1192373,0.07558392,0.03281187,NA,NA,0.009802721
1996,0.106118,0.1034753,0.01716793,NA,0.003843856,0.1648664,NA,0.008294011,0.001382082,0.009330862,0.01574512,NA,0.02150524,0.01064196,0.002474348,0.02324577,0.006575691,NA,0.005418796,0.001132433,NA,0.01760978,NA,0.01123026,0.04616018,0.02805316,0.00605907,0.06020145,0.03368346,NA,0.004286242,0.01181052,0.01690624,0.00148837,0.003130414,0.03168664,0.04106531,0.008534288,NA,NA,0.01152348,0.02120418,0.000399647,NA,0.02618524,0.1082601,0.007662007,NA,0.02058379,0.009993713,0.1144742,0.1144748,0.06866145,0.007051103,NA,NA,0.01674498
1997,0.05807125,0.03879246,0.00501482,NA,0.005616255,0.03051349,NA,0.0109988,0.001943042,0.01436974,0.1551683,NA,0.003274644,0.00612029,0.003233406,0.008297097,0.01152751,NA,0.002233571,0.005895411,NA,0.05088382,NA,0.01548221,0.06253075,0.003371984,NA,0.02563627,0.0131671,NA,0.01784744,0.03040363,0.01944491,0.00078561,0.004903601,0.007307177,0.01408431,0.008909365,NA,0.1069403,0.003400936,0.01199931,0.00348722,0.0232363,0.07267016,0.04403824,0.01164261,NA,0.02008657,0.0402304,0.0857151,0.08572155,0.03990813,0.004001297,NA,NA,0.01691429
1998,0.07967941,0.06654757,0.02128065,NA,0.00529238,0.1223561,NA,0.01292219,0.004990447,0.01252728,0.106595,NA,0.01808081,0.03255381,0.01138126,0.009150413,0.01002887,NA,0.01740288,0.01093631,0.03535078,0.04651469,NA,NA,0.1251183,0.02146204,NA,0.02792009,0.0264309,NA,0.01055907,0.05247134,0.01343852,0.03625656,0.03911641,0.06363569,0.02804006,0.005912519,NA,NA,0.03786629,0.04074597,NA,NA,0.05800678,0.07615288,0.03347792,0.05568933,0.008903966,0.04374084,0.1256873,0.0941273,0.093718,0.01541229,NA,NA,0.03855247
1999,0.06444941,0.07615076,0.01320057,NA,0.004809954,0.1970818,0.08038365,0.009416839,0.01279114,NA,0.09210175,NA,0.01401378,0.01243319,0.02194193,0.0209583,0.01092596,0.06194126,0.03027769,0.03452951,0.0148723,0.04379098,NA,0.01636762,0.06308596,0.02376722,NA,0.06033922,0.011892,NA,0.004855585,0.05645823,0.01016488,0.05554065,0.01652499,0.05156302,0.0147053,0.06067687,NA,0.01916185,0.04175428,0.02178417,0.001731761,NA,0.105027,0.08219353,0.01527238,0.06297953,NA,0.0117638,0.1723888,0.1595292,0.0264784,0.01424485,NA,NA,0.02022867
