"year","stock","juv_group3b","escapement"
2015,"stikine","north_streamtype",21.343
2016,"stikine","north_streamtype",10.343
2017,"stikine","north_streamtype",7.206
2018,"stikine","north_streamtype",8.344
1975,"chilkat","north_streamtype",NA
1976,"chilkat","north_streamtype",NA
1977,"chilkat","north_streamtype",NA
1978,"chilkat","north_streamtype",NA
1979,"chilkat","north_streamtype",NA
1980,"chilkat","north_streamtype",NA
1981,"chilkat","north_streamtype",NA
1982,"chilkat","north_streamtype",NA
1983,"chilkat","north_streamtype",NA
1984,"chilkat","north_streamtype",NA
1985,"chilkat","north_streamtype",NA
1986,"chilkat","north_streamtype",NA
1987,"chilkat","north_streamtype",NA
1988,"chilkat","north_streamtype",NA
1989,"chilkat","north_streamtype",NA
1990,"chilkat","north_streamtype",NA
1991,"chilkat","north_streamtype",5.883
1992,"chilkat","north_streamtype",5.277
1993,"chilkat","north_streamtype",4.464
1994,"chilkat","north_streamtype",6.793
1995,"chilkat","north_streamtype",3.778
1996,"chilkat","north_streamtype",4.91
1997,"chilkat","north_streamtype",8.095
1998,"chilkat","north_streamtype",3.657
1999,"chilkat","north_streamtype",2.258
2000,"chilkat","north_streamtype",2.029
2001,"chilkat","north_streamtype",4.514
2002,"chilkat","north_streamtype",4.035
2003,"chilkat","north_streamtype",5.631
2004,"chilkat","north_streamtype",3.406
2005,"chilkat","north_streamtype",3.361
2006,"chilkat","north_streamtype",3.003
2007,"chilkat","north_streamtype",1.438
2008,"chilkat","north_streamtype",2.882
2009,"chilkat","north_streamtype",4.406
2010,"chilkat","north_streamtype",1.797
2011,"chilkat","north_streamtype",2.674
2012,"chilkat","north_streamtype",1.723
2013,"chilkat","north_streamtype",1.719
2014,"chilkat","north_streamtype",1.529
2015,"chilkat","north_streamtype",2.452
2016,"chilkat","north_streamtype",1.38
2017,"chilkat","north_streamtype",1.173
2018,"chilkat","north_streamtype",0.873
1975,"king_salmon","north_streamtype",0.064
1976,"king_salmon","north_streamtype",0.099
1977,"king_salmon","north_streamtype",0.204
1978,"king_salmon","north_streamtype",0.087
1979,"king_salmon","north_streamtype",0.134
1980,"king_salmon","north_streamtype",0.106
1981,"king_salmon","north_streamtype",0.154
1982,"king_salmon","north_streamtype",0.394
1983,"king_salmon","north_streamtype",0.245
1984,"king_salmon","north_streamtype",0.265
1985,"king_salmon","north_streamtype",0.175
1986,"king_salmon","north_streamtype",0.255
1987,"king_salmon","north_streamtype",0.196
1988,"king_salmon","north_streamtype",0.208
1989,"king_salmon","north_streamtype",0.24
1990,"king_salmon","north_streamtype",0.179
