Birth_Mother,Year,Calved
G54,2012.00,1
G64,2012.00,1
H09,2012.00,1
I12,2012.00,1
I35,2012.00,1
I68,2012.00,1
I90,2012.00,1
A42,2013.00,1
A52,2013.00,1
A54,2013.00,1
A62,2013.00,1
A73,2013.00,1
C13,2013.00,1
D11,2013.00,1
G48,2013.00,1
G50,2013.00,1
H12,2013.00,1
I54,2013.00,1
I69,2013.00,1
I83,2013.00,1
R38,2013.00,1
R39,2013.00,1
A69,2014.00,1
A72,2014.00,1
B14,2014.00,1
C08,2014.00,1
C26,2014.00,1
D20,2014.00,1
G51,2014.00,1
G69,2014.00,1
I104,2014.00,1
I21,2014.00,1
I26,2014.00,1
I50,2014.00,1
I51,2014.00,1
I63,2014.00,1
I65,2014.00,1
I99,2014.00,1
R40,2014.00,1
R41,2014.00,1
A64,2015.00,1
C23,2015.00,1
D17,2015.00,1
D19,2015.00,1
G50,2015.00,1
G63,2015.00,1
I100,2015.00,1
I96,2015.00,1
R22,2015.00,1
R24,2015.00,1
R29,2015.00,1
R35,2015.00,1
A67,2016.00,1
A70,2016.00,1
A75,2016.00,1
G41,2016.00,1
I16,2016.00,1
I27,2016.00,1
R23,2016.00,1
A35,2017.00,1
A42,2017.00,1
A50,2017.00,1
A73,2017.00,1
G22,2017.00,1
G58,2017.00,1
G62,2017.00,1
G77,2017.00,1
I40,2017.00,1
I92,2017.00,1
