STOCK,BROOD,ReleaseYear,age,n,TotalReleased.sum,avg.weight
QUE,1982,1983,1,1,84229,8.73
QUE,1983,1984,1,1,255977,10.32
QUE,1985,1986,1,1,132000,4.78
QUE,1986,1987,1,1,224943,17.46
QUE,1987,1988,1,1,107000,18.23
QUE,1988,1989,1,1,220197,12.61
QUE,1989,1990,1,1,242386,10.16
QUE,1990,1991,1,1,175448,11.64
QUE,1991,1992,1,1,343700,14.65
QUE,1992,1993,1,1,213582,11.43
QUE,1993,1994,1,1,205300,11.52
QUE,1994,1995,1,2,84991,13.05
QUE,1995,1996,1,1,238223,10.61
QUE,1996,1997,1,1,280991,10.09
QUE,1997,1998,1,1,346780,10.44
QUE,1998,1999,1,1,323700,9.26
QUE,1999,2000,1,1,193425,10.19
QUE,2000,2001,1,1,255811,10.24
QUE,2001,2002,1,2,234891,12.89
QUE,2002,2003,1,1,278504,9.69
QUE,2003,2004,1,1,218855,11.69
QUE,2004,2005,1,1,210471,11.91
QUE,2005,2006,1,1,211235,10.93
QUE,2006,2007,1,1,247058,11.31
QUE,2007,2008,1,1,193324,10.55
QUE,2008,2009,1,1,221678,11.3
QUE,2009,2010,1,1,226301,11.15
QUE,2010,2011,1,1,165540,10.6
QUE,2011,2012,1,1,204902,11.37
QUE,2013,2014,1,1,190902,11.09
QUE,2014,2015,1,1,219392,77.01
QUE,2015,2016,1,1,211468,11.4
QUE,2016,2017,1,1,54187,10.83
QUE,2017,2018,1,1,212900,10.31
QUE,2018,2019,1,1,174012,10.52
QUE,2019,2020,1,1,196874,10.15
QUI,1974,1975,1,1,162516,4.8
QUI,1975,1976,1,1,424567,4.3
QUI,1976,1977,1,1,376480,9.4
QUI,1977,1978,1,3,776387,5.173356458
QUI,1978,1979,1,1,849226,6.5
QUI,1979,1980,1,2,1081433,7.152594104
QUI,1980,1981,1,3,1136778,7.252850161
QUI,1981,1982,1,2,438406,8.02329188
QUI,1982,1983,1,2,587689,9.946111804
QUI,1983,1984,1,2,1305879,13.33117762
QUI,1984,1985,1,9,3029003,13.79407416
QUI,1985,1986,1,9,2815828,12.94864008
QUI,1986,1987,1,9,3309673,8.352432672
QUI,1987,1988,1,9,3142791,7.244769824
QUI,1988,1989,1,9,3088401,7.523060639
QUI,1989,1990,1,9,3007294,6.434213981
QUI,1990,1991,1,9,3251547,6.466811275
QUI,1991,1992,1,9,3255752,6.826722459
QUI,1992,1993,1,9,2930097,5.481661017
QUI,1993,1994,1,9,1753678,6.3275083
QUI,1994,1995,1,9,1830676,6.414644099
QUI,1995,1996,1,8,1455506,8.647121207
QUI,1996,1997,1,8,1960330,8.060337596
QUI,1997,1998,1,8,1725418,8.344567925
QUI,1998,1999,1,7,2215622,8.600707928
QUI,1999,2000,1,6,2194648,7.615578084
QUI,2000,2001,1,8,2278313,7.416614921
QUI,2001,2002,1,8,2374029,7.303224405
QUI,2002,2003,1,8,2348293,7.413047362
QUI,2003,2004,1,7,2083770,6.883809696
QUI,2004,2005,1,7,1934466,5.268379284
QUI,2005,2006,1,8,2186356,4.913052083
QUI,2006,2007,1,8,2201090,4.788224811
QUI,2007,2008,1,16,1979670,5.772122829
QUI,2008,2009,1,8,1969542,5.284687404
QUI,2009,2010,1,13,1939739,5.649743806
QUI,2010,2011,1,11,1982409,5.355084798
QUI,2011,2012,1,9,1962228,5.200880147
QUI,2012,2013,1,8,1902237,5.699314465
QUI,2013,2014,1,12,2124377,6.005225339
QUI,2014,2015,1,6,1689570,6.153032399
QUI,2015,2016,1,13,1708249,6.04134049
QUI,2016,2017,1,10,1975940,6.329773186
QUI,2017,2018,1,11,2044282,5.871800613
QUI,2018,2019,1,8,1771703,6.734678611
RBT,1973,1974,1,4,1592093,6.124354231
RBT,1974,1975,1,3,1504728,5.252352531
RBT,1975,1976,1,3,960959,5.20225379
RBT,1976,1977,1,3,3693613,5.386313103
RBT,1977,1978,1,2,7749806,4.812638497
RBT,1978,1979,1,5,6723617,5.481800755
RBT,1979,1980,1,6,7663368,5.787784605
RBT,1980,1981,1,4,9162202,5.595139553
RBT,1981,1982,1,5,7842314,4.861907289
RBT,1982,1983,1,8,8418344,6.914251485
RBT,1983,1984,1,6,9599318,5.377525058
RBT,1984,1985,1,16,8224862,5.890939398
RBT,1985,1986,1,8,8203873,6.662359559
RBT,1986,1987,1,18,8680798,6.792308679
RBT,1987,1988,1,18,8163122,6.051866614
RBT,1988,1989,1,8,9088097,5.811594672
RBT,1989,1990,1,11,8226719,6.341183757
RBT,1990,1991,1,9,8543130,4.897781153
RBT,1991,1992,1,8,8129936,6.821525594
RBT,1992,1993,1,8,7804249,5.525733341
RBT,1993,1994,1,8,6804621,6.96166831
RBT,1994,1995,1,12,7272540,5.509596456
RBT,1995,1996,1,13,8273553,6.614266712
RBT,1996,1997,1,13,8447056,5.398402961
RBT,1997,1998,1,8,8330301,5.969784081
RBT,1998,1999,1,6,7575588,5.059861571
RBT,1999,2000,1,7,7676566,6.002690238
RBT,2000,2001,1,8,4971646,6.18067432
RBT,2001,2002,1,8,6381158,5.968541312
RBT,2002,2003,1,8,7546875,6.35212017
RBT,2003,2004,1,8,8108899,5.521048908
RBT,2004,2005,1,8,6034686,6.158989077
RBT,2005,2006,1,8,6142676,4.934546365
RBT,2006,2007,1,8,6249992,4.980089658
RBT,2007,2008,1,9,6242995,4.909915414
RBT,2008,2009,1,18,6147289,4.711657448
RBT,2009,2010,1,17,6272082,4.505957288
RBT,2010,2011,1,10,6611061,4.557951727
RBT,2011,2012,1,12,6498752,3.995617423
RBT,2012,2013,1,12,6522653,5.445965983
RBT,2013,2014,1,9,6251376,5.963029048
RBT,2014,2015,1,13,5757684,5.352932797
RBT,2015,2016,1,16,6623257,5.383029461
RBT,2016,2017,1,14,2197221,4.572074757
RBT,2017,2018,1,13,5948230,5.895435772
RBT,2018,2019,1,10,4983952,4.495771249
SAM,1974,1975,1,3,1304347,6.113428528
SAM,1975,1976,1,3,982195,3.758741452
SAM,1979,1980,1,3,343804,4.649912101
SAM,1985,1986,1,5,2110050,6.036737139
SAM,1986,1987,1,1,2625100,3.71
SAM,1987,1988,1,1,958200,4.67
SAM,1988,1989,1,1,1725000,3.84
SAM,1989,1990,1,1,950500,4.72
SAM,1990,1991,1,1,798500,6.12
SAM,1991,1992,1,1,791000,6.12
SAM,1992,1993,1,1,800300,5.03
SAM,1993,1994,1,1,801400,5.73
SAM,1994,1995,1,1,206495,5.66
SAM,1995,1996,1,1,202914,6.57
SAM,1996,1997,1,1,201800,3.97
SAM,1997,1998,1,2,181576,5.375651077
SAM,1998,1999,1,2,401627,6.47
SAM,1999,2000,1,2,361727,4.67
SAM,2000,2001,1,2,300699,4.77
SAM,2001,2002,1,2,352451,5.15
SAM,2002,2003,1,2,402278,4.19
SAM,2003,2004,1,2,397575,4.83
SAM,2004,2005,1,2,605449,5.12
SAM,2005,2006,1,2,385633,5.15
SAM,2006,2007,1,2,412204,4.67
SAM,2007,2008,1,2,428420,5.33
SAM,2008,2009,1,2,406823,4.77
SAM,2009,2010,1,2,409598,5.39
SAM,2010,2011,1,2,407368,5.58
SAM,2011,2012,1,2,402191,5.33
SAM,2012,2013,1,2,404537,4.53
SAM,2013,2014,1,2,410230,4.27
SAM,2014,2015,1,2,411087,4.77
SAM,2015,2016,1,2,613562,5.21
SAM,2016,2017,1,2,401305,4.6
SAM,2017,2018,1,2,408396,4.77
SAM,2018,2019,1,2,410420,4.87
SHU,1978,1979,1,2,142745,2.7
SHU,1979,1980,1,2,59325,2.4
SHU,1984,1985,1,3,139736,4.330167602
SHU,1985,1986,1,4,105682,3.221861812
SHU,1986,1987,1,2,1113900,4.695556154
SHU,1987,1988,1,2,888300,4.39933581
SHU,1988,1989,1,2,843640,4.167246693
SHU,1989,1990,1,2,72136,8.5
SHU,1990,1991,1,1,82005,7.1
SHU,1991,1992,1,2,359080,5.062804946
SHU,1992,1993,1,1,403000,4.1
SHU,1993,1994,1,1,625570,3.9
SHU,1994,1995,1,1,702500,5.3
SHU,1995,1996,1,1,667380,5.5
SHU,1996,1997,1,1,892820,4.7
SHU,1997,1998,1,1,656700,5.4
SHU,1998,1999,1,2,766396,6.7
SHU,1999,2000,1,4,696958,5.75
SHU,2000,2001,1,4,489324,6.38
SHU,2001,2002,1,4,551940,6.54
SHU,2002,2003,1,4,715107,6.8
SHU,2003,2004,1,3,696700,5.81
SHU,2004,2005,1,4,494650,6.1
SHU,2005,2006,1,5,503497,5.38
SHU,2006,2007,1,6,558400,5.4
SHU,2007,2008,1,11,508900,5.54
SHU,2008,2009,1,8,505608,4.8
SHU,2009,2010,1,8,543000,6.13
SHU,2010,2011,1,11,548366,5.96
SHU,2011,2012,1,11,546752,5.75
SHU,2012,2013,1,10,527930,6.36
SHU,2013,2014,1,10,498200,5.19
SHU,2014,2015,1,9,492097,5.92
SHU,2015,2016,1,9,496044,4
SHU,2016,2017,1,10,520806,6.05
SHU,2017,2018,1,9,500826,6.13
SHU,2018,2019,1,3,552903,6.28
SKF,1985,1986,1,1,58900,6.47
SKF,1993,1994,1,1,250457,6.97
SKF,1994,1995,1,2,261581,7.19
SKF,1995,1996,1,1,252448,6.38
SKF,1996,1997,1,1,130500,5.66
SKF,1997,1998,1,2,272429,7.43
SKF,1998,1999,1,1,246714,6.04
SKF,1999,2000,1,1,262620,6.04
SKF,2000,2001,1,2,270079,5.53
SKF,2001,2002,1,1,253362,6.04
SKF,2002,2003,1,1,252335,6.67
SKF,2003,2004,1,1,267248,6.87
SKF,2004,2005,1,2,256190,6.57
SKF,2005,2006,1,1,252195,5.03
SKF,2006,2007,1,1,255685,6.04
SKF,2007,2008,1,1,221225,6.47
SKF,2008,2009,1,1,256041,5.66
SKF,2009,2010,1,1,268617,5.03
SKF,2010,2011,1,1,253841,5.74
SKF,2011,2012,1,2,362320,5.66
SKF,2012,2013,1,3,489114,6.21
SKF,2013,2014,1,3,489974,5.66
SKF,2014,2015,1,3,472278,6.47
SKF,2015,2016,1,3,488830,5.81
SKF,2016,2017,1,3,487720,6.21
SKF,2017,2018,1,3,487516,6.47
SKF,2018,2019,1,3,488900,5.77
SKS,1981,1983,2,1,9500,28.34
SKS,1982,1984,2,1,58599,34.89
SKS,1983,1985,2,1,36001,28.34
SKS,1984,1986,2,2,26861,34.89
SKS,1985,1987,2,1,47711,34.89
SKS,1986,1988,2,1,80797,40.14
SKS,1987,1989,2,3,115199,47.74
SKS,1990,1992,2,1,284523,32.39
SKS,1993,1995,2,1,123917,37.79
SKS,1994,1996,2,1,231253,41.23
SKS,1995,1997,2,2,249718,50.39
SKS,1996,1998,2,1,115465,45.35
SKS,1997,1999,2,2,142380,45.35
SKS,1998,2000,2,2,135300,41.23
SKS,1999,2001,2,2,147393,42.39
SKS,2000,2002,2,2,148450,29.26
SKS,2001,2003,2,2,150728,34.89
SKS,2002,2004,2,2,120000,37.79
SKS,2003,2005,2,2,151000,38.11
SKS,2004,2006,2,2,146753,46.76
SKS,2005,2007,2,2,149100,37.79
SKS,2006,2008,2,6,139111,45.35
SKS,2007,2009,2,2,117346,45.35
SKS,2008,2010,2,2,153200,45.35
SKS,2009,2011,2,2,161000,43.19
SKS,2010,2012,2,2,140019,45.35
SKY,2000,2001,1,3,425997,7.76
SKY,2001,2002,1,2,400912,6.29
SKY,2002,2003,1,4,395260,6.97
SKY,2003,2004,1,2,355775,6.4
SKY,2004,2005,1,2,402100,6.47
SKY,2005,2006,1,2,413326,7.31
SKY,2006,2007,1,2,412924,5.33
SKY,2007,2008,1,2,400558,6.57
SKY,2008,2009,1,2,404002,6.29
SKY,2009,2010,1,2,402069,5.96
SKY,2010,2011,1,2,401900,6.08
SKY,2011,2012,1,2,409251,5.81
SKY,2012,2013,1,2,410008,6.29
SKY,2013,2014,1,2,4.00E+05,6.04
SKY,2014,2015,1,2,4.00E+05,7.31
SKY,2015,2016,1,2,410259,6.47
SKY,2016,2017,1,2,411707,6.12
SKY,2017,2018,1,2,396735,6.77
SKY,2018,2019,1,2,410000,7.31
SMK,1989,1991,2,2,352600,41.23
SMK,1990,1992,2,1,540000,37.79
SMK,1991,1993,2,1,675500,22.67
SMK,1992,1994,2,5,547156,25.19
SMK,1993,1995,2,2,383861,34.89
SMK,1994,1996,2,1,221883,34.89
SMK,1995,1997,2,3,587000,32.86
SMK,1997,1999,2,1,589591,41.23
SMK,1999,2001,2,1,630463,35.43
SMK,2000,2002,2,1,532453,20.34
SMK,2002,2004,2,1,247631,20.8
SMK,2003,2005,2,1,579019,28.89
SMK,2004,2006,2,2,604066,29.84
SMK,2005,2007,2,1,275919,25.91
SMK,2006,2008,2,2,604035,21.59
SMK,2007,2009,2,4,513039,26.68
SMK,2008,2010,2,1,343628,35.16
SMK,2009,2011,2,2,524521,29.45
SMK,2010,2012,2,4,617950,23.16
SMK,2011,2013,2,3,627978,28.17
SMK,2012,2014,2,3,158266,31.00866263
SMK,2013,2015,2,4,496382,28.70172657
SMK,2014,2016,2,3,488647,33.51846267
SMK,2015,2017,2,2,343840,30.28735394
SMK,2016,2018,2,7,677461,25.2689282
SOO,1985,1986,1,4,160722,5.7
SOO,1986,1987,1,1,700514,5.5
SOO,1987,1988,1,1,296388,6.06
SOO,1989,1990,1,1,1066702,6.78
SOO,1990,1991,1,4,384136,6.85339182
SOO,1991,1992,1,4,648160,7.566498041
SOO,1992,1993,1,2,1090222,6.481218963
SOO,1993,1994,1,4,3391596,6.232984465
SOO,1994,1995,1,4,3204540,6.237976558
SOO,1995,1996,1,4,845264,8.41997932
SOO,1996,1997,1,2,2466427,6.316786258
SOO,1997,1998,1,4,3149700,6.320076833
SOO,1998,1999,1,3,2056430,6.360265703
SOO,1999,2000,1,4,2240730,7.672290013
SOO,2000,2001,1,4,1979850,7.072488067
SOO,2001,2002,1,4,3070100,6.960560894
SOO,2002,2003,1,4,3172637,6.126682261
SOO,2003,2004,1,4,2212800,6.309298753
SOO,2004,2005,1,4,2209723,6.502602534
SOO,2005,2006,1,4,2238967,5.723437098
SOO,2006,2007,1,4,1658239,6.139587605
SOO,2007,2008,1,4,429471,8.608424271
SOO,2008,2009,1,4,409189,5.945026455
SOO,2009,2010,1,4,2597607,6.91253066
SOO,2010,2011,1,4,1325579,6.44251478
SOO,2011,2012,1,1,2352445,6.07
SOO,2012,2013,1,1,1026580,6.12
SOO,2013,2014,1,1,2207431,5.6
SOO,2014,2015,1,1,1972652,6.27
SOO,2015,2016,1,1,1990915,7.24
SOO,2016,2017,1,1,2399503,6.07
SOO,2017,2018,1,1,1180688,6.56
SOO,2018,2019,1,1,1757317,7.43
SPR,1972,1973,1,3,8869319,6.73103503
SPR,1973,1974,1,4,7641933,5.016237223
SPR,1974,1975,1,6,18050490,5.624546799
SPR,1975,1976,1,7,16497786,5.062398653
SPR,1976,1977,1,5,8090509,8.262486792
SPR,1977,1978,1,4,16095184,5.603829377
SPR,1978,1979,1,4,18462038,5.202923474
SPR,1979,1980,1,3,14444789,5.32313609
SPR,1980,1981,1,7,15321580,5.641532699
SPR,1981,1982,1,3,248532,5.591744001
SPR,1982,1983,1,2,103284,8.329044189
SPR,1983,1984,1,2,97238,6.629758325
SPR,1984,1985,1,6,266611,2.960097445
SPR,1985,1986,1,9,10618078,7.172980854
SPR,1986,1987,1,12,10640406,8.387392793
SPR,1987,1988,1,15,8633407,9.14958703
SPR,1988,1989,1,13,15113823,6.753166133
SPR,1989,1990,1,14,8464507,8.3086725
SPR,1990,1991,1,9,12589832,6.119143786
SPR,1991,1992,1,16,17049132,5.751594634
SPR,1992,1993,1,10,10598700,4.715017835
SPR,1993,1994,1,8,14969531,5.916362791
SPR,1994,1995,1,6,14327524,5.945421069
SPR,1995,1996,1,6,16440491,5.820499241
SPR,1996,1997,1,6,14346884,6.317633759
SPR,1997,1998,1,6,15619429,6.742137823
SPR,1998,1999,1,6,10592075,5.665781011
SPR,1999,2000,1,6,16065945,6.310716952
SPR,2000,2001,1,2,10569810,5.704618833
SPR,2003,2004,1,11,14653529,5.759999445
SPR,2004,2005,1,8,14533488,3.585075178
SPR,2005,2006,1,8,15239054,3.634952099
SPR,2006,2007,1,16,15472561,4.689082473
SPR,2007,2008,1,20,14899270,5.047437274
SPR,2008,2009,1,4,11252949,4.459564184
SPR,2009,2010,1,4,10750561,5.653754406
SPR,2010,2011,1,4,10861292,5.071984791
SPR,2011,2012,1,4,11078704,4.784621488
SPR,2012,2013,1,4,11242686,5.009309122
SPR,2013,2014,1,4,10754482,4.072848418
SPR,2014,2015,1,4,10415634,4.018757102
SPR,2015,2016,1,4,10067948,4.696434729
SPR,2016,2017,1,4,10775114,5.282462238
SPR,2016,2018,1,4,10737862,4.329257696
SPS,1978,1979,1,3,669333,3.965006267
SPS,1979,1980,1,5,10370964,4.025295319
SPY,1978,1980,2,7,1774300,47.36884709
SPY,1979,1981,2,7,448516,72.50245262
SPY,1980,1982,2,3,1421677,55.89815348
SPY,1981,1983,2,3,1240584,53.63327317
SPY,1986,1988,2,1,40068,113.39
SPY,1987,1989,2,1,248050,82.47
SPY,1988,1990,2,1,229900,32.86
SPY,1989,1991,2,1,180000,64.79
SPY,1990,1992,2,1,181000,64.79
SPY,1991,1993,2,1,166800,57.41
SPY,1992,1994,2,1,166870,66.69
SPY,1993,1995,2,1,72233,82.47
SPY,1994,1996,2,1,50381,61.29
SPY,1995,1997,2,1,61981,59.91
SPY,1996,1998,2,1,190985,49.84
SPY,1997,1999,2,1,191300,42.63
SPY,1999,2001,2,1,70164,50.39
SPY,2000,2002,2,4,71520,39.44
SPY,2002,2004,2,5,164610,63.16526274
SPY,2003,2005,2,1,67144,41.99
SPY,2004,2006,2,1,75920,53.36
SPY,2005,2007,2,2,172370,89.4053449
SPY,2006,2008,2,4,161292,83.29990774
SPY,2007,2009,2,2,168038,61.8169201
SPY,2008,2010,2,1,101606,156.41
SPY,2009,2011,2,1,80200,45.35
SPY,2010,2012,2,1,80131,51.54
SPY,2011,2013,2,1,76000,56.69
SPY,2012,2014,2,1,71051,46.76
SPY,2013,2015,2,1,56402,39.44
SQP,1990,1991,1,2,202000,12.59
SQP,1986,1988,2,1,776500,113.39
SQP,1987,1989,2,1,814860,122.59
SQP,1988,1990,2,1,806800,90.71
SQP,1989,1991,2,1,642600,75.59
SQP,1992,1994,2,1,170850,56.69
SQP,1993,1995,2,1,61183,94.49
SQP,1994,1996,2,1,65338,90.71
SQP,1995,1997,2,1,72863,86.07
SQP,1997,1999,2,1,126285,83.38
SRH,1976,1977,1,4,100358,48.1579061
SRH,1977,1978,1,2,49354,73.28
SRH,1978,1979,1,4,105482,36.40527578
SRH,1979,1980,1,4,219252,38.67467681
SRH,1980,1981,1,4,134892,34.55686208
SRH,1982,1983,1,2,100678,30.94
SRH,1983,1984,1,2,213788,24.73
SRH,1984,1985,1,4,411716,34.53079968
SRH,1985,1986,1,4,364302,28.7654647
SRH,1986,1987,1,10,284404,39.82
SRH,1987,1988,1,10,401564,31.39
SRH,1988,1989,1,12,404256,32.89
SRH,1989,1990,1,10,422966,27.78
SRH,1990,1991,1,10,391572,30.14
SRH,1991,1992,1,10,386368,31.39402601
SRH,1992,1993,1,10,410350,29.16179237
SRH,1993,1994,1,10,413148,31.41
SRH,1994,1995,1,2,410430,29.78
SRH,1995,1996,1,2,373560,31.9
SRH,1996,1997,1,2,407972,31.24
SRH,1997,1998,1,2,410978,34.62
SRH,1998,1999,1,2,397958,33.6
SRH,1999,2000,1,2,398178,39.93
SRH,2000,2001,1,2,414936,31.87
SRH,2001,2002,1,2,417756,32.82
SRH,2002,2003,1,2,392670,32.26
SRH,2003,2004,1,2,420860,34.08
SRH,2004,2005,1,2,315476,32.26
SRH,2005,2006,1,2,422612,32.38
SRH,2006,2007,1,2,419172,32.96
SRH,2007,2008,1,2,415874,32.47
SRH,2008,2009,1,2,317956,36.37
SRH,2009,2010,1,2,360438,31.56
SRH,2010,2011,1,2,382708,33.5
SRH,2011,2012,1,2,413204,35.91
SRH,2012,2013,1,2,464108,33.35
SRH,2013,2014,1,2,429390,33.11
SRH,2014,2015,1,2,312300,33.35
SRH,2015,2016,1,2,372858,28.35
SRH,2016,2017,1,2,445334,32.87
SRH,2017,2018,1,1,230279,25.2
SRN,2011,2012,1,2,22259,5.65
SRN,2012,2013,1,2,30123,5.101747834
SRN,2013,2014,1,1,23569,5.53
SRN,2014,2015,1,1,20776,5.74
SRN,2015,2016,1,1,11845,28.35
SSF,1976,1977,1,7,210786,2.903199833
SSF,1977,1978,1,6,72648,2.026758892
SSF,1994,1995,1,1,191515,4.53
SSF,1995,1996,1,1,137661,5.09
SSF,1996,1997,1,2,23500,4.53
SSF,1997,1998,1,1,202136,5.03
SSF,1998,1999,1,2,241120,3.26
SSF,1999,2000,1,1,194590,3.38
SSF,2000,2001,1,1,205750,3.48
SSF,2001,2002,1,1,190058,3.35
SSF,2002,2003,1,1,200202,3.57
SSF,2003,2004,1,1,230593,4.12
SSF,2004,2005,1,1,192000,4.12
SSF,2005,2006,1,2,210643,3.38
SSF,2006,2007,1,1,232150,3.54
SSF,2007,2008,1,1,217940,3.33
SSF,2008,2009,1,1,109284,4.12
SSF,2009,2010,1,1,211196,3.19
SSF,2010,2011,1,1,184894,4.12
SSF,2011,2012,1,1,190823,4.27
SSF,2012,2013,1,1,197773,4.77
SSF,2013,2014,1,1,185764,4.53
SSF,2014,2015,1,1,226141,4.67
SSF,2015,2016,1,1,227290,4.53
SSF,2016,2017,1,1,208314,3.14
SSF,2017,2018,1,1,211546,5.27
SSF,2018,2019,1,1,201400,4.53
STI,1999,2001,2,1,5774000,5.5
STI,2000,2002,2,2,3482200,6.3
STI,2001,2003,2,2,4981750,4.9
STI,2002,2004,2,3,2663000,4.4
STI,2003,2005,2,2,2710500,4.5
STI,2006,2008,2,3,4001091,4.1
STI,2009,2011,2,3,2417858,5.7
STI,2010,2012,2,3,1671500,5.856018546
STI,2011,2013,2,5,1614900,4.6
STI,2012,2014,2,3,1390566,3.85
STI,2013,2015,2,1,20254,5.7
STI,2014,2016,2,3,35366,5
STI,2015,2017,2,5,42894,5.9
STL,1980,1981,1,1,66599,2.51
STL,1981,1982,1,1,85000,2.39
STL,1982,1983,1,1,33782,2.51
STL,1983,1984,1,1,28482,2.75
STL,1986,1987,1,1,24900,5.03
STL,1987,1988,1,1,145166,5.03
STL,1988,1989,1,1,41123,5.67
STL,1989,1990,1,1,46837,5.27
STL,1990,1991,1,1,69100,6.58
STL,1991,1992,1,1,176756,5.34
STL,1992,1993,1,1,100121,5.67
STL,1993,1994,1,1,216000,7.57
STL,1994,1995,1,1,211350,6.47
STL,1995,1996,1,1,35000,9.07
STL,1996,1997,1,1,218092,5.03
STL,1997,1998,1,1,47639,8.09
STL,1998,1999,1,1,190654,5.39
STL,2002,2003,1,2,289439,5.27
STL,2003,2004,1,1,202663,5.67
STL,2004,2005,1,1,145697,5.67
STL,2005,2006,1,1,221062,5.04
STL,2006,2007,1,2,259948,5.04
STL,2007,2008,1,2,235309,5.366343871
STL,2008,2009,1,1,188188,5.67
STL,2009,2010,1,1,296099,4.54
STL,2010,2011,1,1,177829,4.54
STL,2011,2012,1,1,205114,5.04
STL,2012,2013,1,1,237157,5.04
STL,2013,2014,1,1,155496,5.66
STL,2014,2015,1,1,238857,5.68
STL,2015,2016,1,1,185400,5.04
STL,2016,2017,1,1,238897,3.16
STL,2017,2018,1,1,150863,5.66
STL,2018,2019,1,1,147936,5.09
SUM,1975,1976,1,1,2954000,4.11
SUM,1976,1977,1,2,421500,10.06985167
SUM,1977,1978,1,2,498312,10.39380645
SUM,1986,1987,1,3,705654,8.309699003
SUM,1989,1990,1,3,1521129,11.04601303
SUM,1991,1992,1,1,493919,18.14
SUM,1993,1994,1,1,187382,16.79
SUM,1994,1995,1,2,450935,14.17
SUM,1995,1996,1,2,408000,18.14
SUM,1996,1997,1,2,473000,19.72
SUM,1997,1998,1,1,541923,13.74
SUM,1998,1999,1,1,370617,18.28
SUM,1999,2000,1,1,363600,24.51
SUM,2000,2001,1,1,498500,16.79
SUM,2001,2002,1,1,376027,22.67
SUM,2002,2003,1,2,473101,15.11
SUM,2003,2004,1,2,425271,15.07683719
SUM,2004,2005,1,2,471123,14.26108322
SUM,2005,2006,1,2,430203,12.6637669
SUM,2006,2007,1,2,396538,11.22188217
SUM,2007,2008,1,2,403279,11.61450316
SUM,2008,2009,1,1,427131,8.57
SUM,2009,2010,1,1,471286,6.71
SUM,2010,2011,1,1,442821,9.94
SUM,2011,2012,1,1,492777,9.86
SUM,2012,2013,1,2,493451,8.89
SUM,2013,2014,1,1,443636,6.97
SUM,2014,2015,1,1,464137,6.97
SUM,2015,2016,1,1,439709,7.08
SUM,2016,2017,1,1,470247,7.68
SUM,2017,2018,1,1,417000,9.07
SUM,1983,1985,2,1,186000,37.79
SUM,1984,1986,2,2,200440,39.535
SUM,1985,1987,2,3,394360,47.74
SUM,1986,1988,2,2,385213,56.69
SUM,1987,1989,2,2,429040,39.6189601
SUM,1988,1990,2,1,391579,58.15
SUM,1990,1992,2,1,371369,56.69
SUM,1992,1994,2,1,218766,37.79
SUM,1993,1995,2,2,388248,54.85028721
SUM,1994,1996,2,2,365000,47.74
SUM,1995,1997,2,2,290000,52.49
SUM,1996,1998,2,2,348559,60.47
SUM,1997,1999,2,1,381687,75.59
SUM,1998,2000,2,1,457770,64.79
SUM,1999,2001,2,1,312098,45.35
SUM,2000,2002,2,1,345504,47.24
SUM,2001,2003,2,1,185200,45.35
SUM,2002,2004,2,1,306810,46.76
SUM,2003,2005,2,1,313509,43.19
SUM,2004,2006,2,2,312980,58.15
SUM,2005,2007,2,1,333587,50.39
SUM,2006,2008,2,1,311880,41.23
SUM,2007,2009,2,2,310063,53.99
SUM,2008,2010,2,2,336881,55.99
SUM,2009,2011,2,2,349463,43.61
SUM,2010,2012,2,2,350272,45.35
SUM,2011,2013,2,1,289998,50.39
SUM,2012,2014,2,1,318902,45.35
SUM,2013,2015,2,1,339236,46.76
SUM,2014,2016,2,2,350000,45.35
SUM,2015,2017,2,1,329809,37.79
SUM,2016,2018,2,4,356240,49.35322614
TAK,1978,1979,1,4,20362,6.823447598
TAK,1977,1979,2,1,2549,6.87
TAK,1995,1997,2,4,1305974,4.656602275
TAK,1996,1998,2,4,2337300,3.685523339
TAK,1997,1999,2,1,2442125,3.84
TAK,2002,2004,2,2,1648438,4.510576746
TAK,2003,2005,2,2,1608307,4.324621593
TAK,2011,2013,2,3,1837614,4.412733795
TAK,2012,2014,2,2,1857383,5.164971791
TAK,2013,2015,2,2,22154,4.99161235
TAK,2014,2016,2,2,32103,6.367554434
TAK,2015,2017,2,4,45481,4.577544469
UNU,1993,1994,1,3,233227,4
UNU,1994,1995,1,4,522182,4
UNU,1995,1996,1,3,369594,3.432135587
UNU,1996,1997,1,3,578645,2.7
UNU,1998,1999,1,1,177245,2.92
UNU,1999,2000,1,2,350824,3.5
UNU,2000,2001,1,4,541122,2.9
UNU,2001,2002,1,5,586516,2.6
UNU,2002,2003,1,3,674212,3.1
UNU,2003,2004,1,3,322964,2.9
UNU,2004,2005,1,2,418465,3.8
UNU,2005,2006,1,2,482338,2.8
UNU,2007,2008,1,2,553166,2.26
UNU,2008,2009,1,4,463133,2.74
UNU,2009,2010,1,2,357659,3.09
UNU,2010,2011,1,2,427406,2.58
UNU,2011,2012,1,2,333073,2.83
UNU,2012,2013,1,2,250680,2.5
UNU,2013,2014,1,1,70301,4.2
UNU,2014,2015,1,1,10524,3.6
UNU,2015,2016,1,4,43037,3.657941539
UNU,1992,1994,2,1,94357,5.5
UNU,1993,1995,2,1,36670,4
UNU,1994,1996,2,2,96831,3.5
UNU,1995,1997,2,1,118085,3.6
UNU,1996,1998,2,2,159990,2.8
