stock,by,gen_time_nofishing,gen_time_fishing
SUM,2011,4.49,4.37
SUM,2012,4.24,4.04
SUM,2013,4.28,4.19
SUM,2014,4.40,4.44
TST,1975,4.80,4.77
TST,1976,4.85,4.77
TST,1977,4.56,4.51
TST,1978,4.67,4.64
TST,1979,5.08,5.01
TST,1980,5.00,4.98
TST,1981,4.83,4.80
TST,1991,5.10,5.07
TST,1992,5.03,5.01
TST,1993,5.01,4.89
TST,1994,4.97,4.89
TST,1995,4.86,4.83
TST,1996,5.07,5.01
TST,1997,5.07,5.00
TST,1998,5.11,5.04
TST,1999,4.94,4.80
TST,2000,5.02,4.88
TST,2001,4.90,4.82
TST,2002,5.19,5.19
TST,2003,4.91,4.88
TST,2004,4.95,4.96
TST,2005,4.82,4.90
TST,2006,5.10,5.06
TST,2007,4.94,4.94
TST,2008,5.08,5.19
TST,2009,4.81,4.80
TST,2010,4.79,4.79
TST,2011,4.72,4.75
TST,2012,4.66,4.75
TST,2013,4.67,4.75
TST,2014,4.86,4.90
UNU,1982,4.89,4.84
UNU,1983,5.19,5.07
UNU,1984,5.12,5.06
UNU,1985,5.28,5.15
UNU,1986,5.34,5.14
UNU,1992,5.19,5.14
UNU,1993,5.28,5.14
UNU,1994,5.12,5.01
UNU,1995,5.13,5.03
UNU,1996,5.05,4.96
UNU,1997,5.21,5.08
UNU,1998,4.98,4.89
UNU,1999,5.28,5.08
UNU,2000,5.07,4.86
UNU,2001,5.19,5.10
UNU,2002,4.88,4.73
UNU,2003,4.98,4.80
UNU,2004,4.95,4.80
UNU,2005,4.93,4.81
UNU,2006,4.99,4.69
UNU,2007,4.97,4.47
UNU,2008,4.96,4.85
UNU,2009,4.94,4.79
UNU,2010,4.88,4.77
UNU,2011,4.84,4.59
UNU,2012,4.98,4.80
UNU,2013,4.70,4.60
UNU,2014,4.65,4.60
URB,1975,4.07,3.74
URB,1976,4.30,4.07
URB,1977,3.76,3.49
URB,1978,3.83,3.74
URB,1979,3.58,3.21
URB,1980,4.14,3.44
URB,1981,3.98,3.62
URB,1982,3.89,3.41
URB,1983,3.90,3.40
URB,1984,3.85,2.99
URB,1985,4.32,4.20
URB,1986,3.92,3.42
URB,1987,3.71,3.49
URB,1988,4.17,3.87
URB,1989,4.17,3.91
URB,1990,4.21,4.12
URB,1991,4.36,4.31
URB,1992,3.83,3.59
URB,1993,3.77,3.55
URB,1994,4.00,3.66
URB,1995,4.12,3.92
URB,1996,3.71,3.42
URB,1997,4.03,3.86
URB,1998,4.08,3.83
URB,1999,4.08,3.87
URB,2000,4.15,3.82
URB,2001,4.03,3.82
URB,2002,3.80,3.58
URB,2003,3.73,3.44
URB,2004,3.73,3.07
URB,2005,3.63,3.17
URB,2006,3.70,3.17
URB,2007,3.71,3.37
URB,2008,3.42,3.12
URB,2009,3.79,3.44
URB,2010,3.61,3.36
URB,2011,3.84,3.62
URB,2012,3.48,3.14
URB,2013,3.55,3.35
URB,2014,3.54,3.35
UWA,1975,3.43,3.20
UWA,1976,3.32,3.21
UWA,1977,3.19,3.04
UWA,1978,3.09,2.78
UWA,1979,3.42,3.18
UWA,1980,3.12,2.81
UWA,1981,2.78,2.59
UWA,1982,3.33,3.10
UWA,1983,3.70,3.16
UWA,1984,3.61,3.41
WRY,2002,3.44,3.31
WRY,2003,3.46,3.42
WRY,2004,3.24,3.04
WRY,2005,3.98,4.03
WRY,2006,3.55,3.48
WRY,2007,3.66,3.66
WRY,2008,3.44,3.31
WRY,2009,3.40,3.32
WRY,2010,3.56,3.59
WRY,2011,3.71,3.69
WRY,2012,3.42,3.22
WRY,2013,3.46,2.88
WRY,2014,3.34,3.07
WSH,1975,4.53,4.54
WSH,1976,4.37,4.35
WSH,1977,4.26,4.14
WSH,1978,4.22,4.09
WSH,1979,4.55,4.47
WSH,1980,4.42,4.35
WSH,1981,4.39,4.32
WSH,1982,4.58,4.25
WSH,1983,4.49,4.13
WSH,1984,4.55,4.45
WSH,1985,4.58,4.39
WSH,1986,4.68,4.60
WSH,1987,4.50,4.50
WSH,1988,4.54,4.47
WSH,1989,4.50,4.42
WSH,1990,4.44,4.42
WSH,1991,4.49,4.50
WSH,1992,4.50,4.51
WSH,1993,4.51,4.44
WSH,1994,4.42,4.40
WSH,1995,4.49,4.37
WSH,1996,4.62,4.56
WSH,1997,4.31,4.23
WSH,1998,4.40,4.37
WSH,1999,4.50,4.41
WSH,2000,4.28,4.26
WSH,2001,4.42,4.28
WSH,2002,4.21,4.18
WSH,2003,4.32,4.30
WSH,2004,4.32,4.22
WSH,2005,4.27,4.19
WSH,2006,4.10,4.02
WSH,2007,4.19,4.12
WSH,2008,4.12,4.11
WSH,2009,4.28,4.25
WSH,2010,4.29,4.21
WSH,2011,4.23,4.15
WSH,2012,4.48,4.41
WSH,2013,4.28,4.22
