"year","stock","j_group3b","esc"
1981,"chilkat","north_streamtype",NA
1982,"chilkat","north_streamtype",NA
1983,"chilkat","north_streamtype",NA
1984,"chilkat","north_streamtype",NA
1985,"chilkat","north_streamtype",NA
1986,"chilkat","north_streamtype",NA
1987,"chilkat","north_streamtype",NA
1988,"chilkat","north_streamtype",NA
1989,"chilkat","north_streamtype",NA
1990,"chilkat","north_streamtype",NA
1991,"chilkat","north_streamtype",5883
1992,"chilkat","north_streamtype",5277
1993,"chilkat","north_streamtype",4464
1994,"chilkat","north_streamtype",6793
1995,"chilkat","north_streamtype",3778
1996,"chilkat","north_streamtype",4910
1997,"chilkat","north_streamtype",8095
1998,"chilkat","north_streamtype",3657
1999,"chilkat","north_streamtype",2258
2000,"chilkat","north_streamtype",2029
2001,"chilkat","north_streamtype",4514
2002,"chilkat","north_streamtype",4035
2003,"chilkat","north_streamtype",5631
2004,"chilkat","north_streamtype",3406
2005,"chilkat","north_streamtype",3361
2006,"chilkat","north_streamtype",3003
2007,"chilkat","north_streamtype",1438
2008,"chilkat","north_streamtype",2882
2009,"chilkat","north_streamtype",4406
2010,"chilkat","north_streamtype",1797
2011,"chilkat","north_streamtype",2674
2012,"chilkat","north_streamtype",1723
2013,"chilkat","north_streamtype",1719
2014,"chilkat","north_streamtype",1529
2015,"chilkat","north_streamtype",2452
2016,"chilkat","north_streamtype",1380
2017,"chilkat","north_streamtype",1173
2018,"chilkat","north_streamtype",873
1975,"king_salmon","north_streamtype",64
1976,"king_salmon","north_streamtype",99
1977,"king_salmon","north_streamtype",204
1978,"king_salmon","north_streamtype",87
1979,"king_salmon","north_streamtype",134
1980,"king_salmon","north_streamtype",106
1981,"king_salmon","north_streamtype",154
1982,"king_salmon","north_streamtype",394
1983,"king_salmon","north_streamtype",245
1984,"king_salmon","north_streamtype",265
1985,"king_salmon","north_streamtype",175
1986,"king_salmon","north_streamtype",255
1987,"king_salmon","north_streamtype",196
1988,"king_salmon","north_streamtype",208
1989,"king_salmon","north_streamtype",240
1990,"king_salmon","north_streamtype",179
1991,"king_salmon","north_streamtype",134
1992,"king_salmon","north_streamtype",99
1993,"king_salmon","north_streamtype",266
1994,"king_salmon","north_streamtype",213
1995,"king_salmon","north_streamtype",147
1996,"king_salmon","north_streamtype",292
1997,"king_salmon","north_streamtype",362
